date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:42	1171/1171	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jan%202022%2004:39:42%20GMT	https://enneagram-app.appspot.com/robots.txt		(from )
13:39:42	29731/29731	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jan%202022%2004:39:42%20GMT	https://enneagram-app.appspot.com/quest/	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/quest/index.html	(from )
13:39:43	82349/82349	---MC-	200	added ('OK')	image/png	etag:%22xrQG8Q%22	https://app.enneagramkorea.com/static/imgs/hera/banner/2-300x.png	D:/httrack/enneagram/enneagram/app.enneagramkorea.com/static/imgs/hera/banner/2-300x.png	(from https://enneagram-app.appspot.com/quest/)
13:39:44	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	D:/httrack/enneagram/enneagram/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://enneagram-app.appspot.com/quest/)
13:39:44	10236/10236	---M-Z	200	added ('OK')	text/css	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/css/style.css	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/css/style.css	(from https://enneagram-app.appspot.com/quest/)
13:39:44	1232/1232	---M-Z	200	added ('OK')	text/css	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/css/quest.css	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/css/quest.css	(from https://enneagram-app.appspot.com/quest/)
13:39:44	94840/94840	---M-Z	200	added ('OK')	application/javascript	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/vendors/jquery-1.7.2.min.js	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/vendors/jquery-1.7.2.min.js	(from https://enneagram-app.appspot.com/quest/)
13:39:45	1597/1597	---M-Z	200	added ('OK')	application/javascript	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/js/img_resize.js	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/js/img_resize.js	(from https://enneagram-app.appspot.com/quest/)
13:39:45	7695/7695	---M--	200	added ('OK')	image/png	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/imgs/hera/logo/logo-white.png	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/imgs/hera/logo/logo-white.png	(from https://enneagram-app.appspot.com/quest/)
13:39:46	297949/297949	---MC-	200	added ('OK')	image/png	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/imgs/hera/banner/1-x300.png	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/imgs/hera/banner/1-x300.png	(from https://enneagram-app.appspot.com/quest/)
13:39:46	55368/55368	---M--	200	added ('OK')	image/png	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/imgs/hera/banner/eg-class.png	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/imgs/hera/banner/eg-class.png	(from https://enneagram-app.appspot.com/quest/)
13:39:46	6483/6483	---M--	200	added ('OK')	image/png	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/imgs/hera/banner/banner-footer-4.png	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/imgs/hera/banner/banner-footer-4.png	(from https://enneagram-app.appspot.com/quest/)
13:39:47	286/286	---M-Z	200	added ('OK')	application/javascript	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/js/navigation.js	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/js/navigation.js	(from https://enneagram-app.appspot.com/quest/)
13:39:47	4808/4808	---M-Z	200	added ('OK')	application/javascript	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/js/eg_quest.js	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/js/eg_quest.js	(from https://enneagram-app.appspot.com/quest/)
13:39:48	47879/47879	---M--	200	added ('OK')	image/gif	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/imgs/bg/rough_diagonal.gif	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/imgs/bg/rough_diagonal.gif	(from https://enneagram-app.appspot.com/static/css/style.css)
13:39:48	2126/2126	---M--	200	added ('OK')	image/png	etag:%22xrQG8Q%22	https://enneagram-app.appspot.com/static/imgs/eg_icon.png	D:/httrack/enneagram/enneagram/enneagram-app.appspot.com/static/imgs/eg_icon.png	(from https://enneagram-app.appspot.com/static/css/style.css)
